id,created_at,ranking_position,title,artist,streams,genre,lyrics,album,year,duration_seg,language_variant,source,url_source,extra_data,lyrics_status,artist_gender
960,2026-03-07 05:01:26.57396+00,,colombia,jaycc,0.0,reggaeton,,colombia,2024.0,139.0,es,spotify_search,https://open.spotify.com/track/06JuYmYPvFUwRdRUMkBfYW,"{""pais"":""CO"",""es_infantil"":false,""todos_artistas"":""Jaycc"",""spotify_track_id"":""06JuYmYPvFUwRdRUMkBfYW"",""artistas_secundarios"":[]}",completed,
961,2026-03-07 05:01:32.223716+00,,colombiana,elemece,0.0,reggaeton,,colombiana,2025.0,166.0,es,spotify_search,https://open.spotify.com/track/6KnM1tRkiFL9ogqAalnrny,"{""pais"":""CO"",""es_infantil"":false,""todos_artistas"":""Elemece, Almanegra"",""spotify_track_id"":""6KnM1tRkiFL9ogqAalnrny"",""artistas_secundarios"":[]}",completed,
962,2026-03-07 05:01:37.859576+00,,urus blue,blessd,0.0,reggaeton,,urus blue,2025.0,207.0,es,spotify_search,https://open.spotify.com/track/3vTCoIm1kizVoy9O5KNtAG,"{""pais"":""CO"",""es_infantil"":false,""todos_artistas"":""Blessd, Los Money Makers, Prodmonja"",""spotify_track_id"":""3vTCoIm1kizVoy9O5KNtAG"",""artistas_secundarios"":[]}",completed,
963,2026-03-07 05:01:43.214583+00,,ni x el putxs,ryan castro,0.0,reggaeton,,ni x el putxs,2025.0,187.0,es,spotify_search,https://open.spotify.com/track/1KL5rlmHCcyqkoGHjsle8v,"{""pais"":""CO"",""es_infantil"":false,""todos_artistas"":""Ryan Castro, Kris R."",""spotify_track_id"":""1KL5rlmHCcyqkoGHjsle8v"",""artistas_secundarios"":[]}",completed,
964,2026-03-07 05:01:49.301479+00,,yunoguara bonus track,blessd,0.0,reggaeton,,trinidad bendita,2025.0,146.0,es,spotify_search,https://open.spotify.com/track/0bI3FYUqolu9UO7hkeq72p,"{""pais"":""CO"",""es_infantil"":false,""todos_artistas"":""Blessd"",""spotify_track_id"":""0bI3FYUqolu9UO7hkeq72p"",""artistas_secundarios"":[]}",completed,
965,2026-03-07 05:01:54.638988+00,,colombian style remix,caracol television,0.0,other,,la reina del flow 3,2026.0,67.0,es,spotify_search,https://open.spotify.com/track/7lZpKO3dul792tlRuja7xL,"{""pais"":""CO"",""error_letra"":""No encontrada en Genius"",""es_infantil"":false,""todos_artistas"":""Caracol Televisión, Valka, Triana, Kiño, Juan Palau, Rapza, Kapuleto, Mc Arthur"",""spotify_track_id"":""7lZpKO3dul792tlRuja7xL"",""artistas_secundarios"":[]}",error,
966,2026-03-07 05:02:00.618689+00,,el tierno,yeison jimenez,0.0,other,,el tierno,2024.0,166.0,es,spotify_search,https://open.spotify.com/track/6W94uSiipjqPHeg4SsW8mf,"{""pais"":""CO"",""es_infantil"":false,""todos_artistas"":""Yeison Jimenez, DFZM"",""spotify_track_id"":""6W94uSiipjqPHeg4SsW8mf"",""artistas_secundarios"":[]}",completed,
967,2026-03-07 05:02:06.091263+00,,magia,blessd,0.0,reggaeton,,blessdeluxury,2024.0,189.0,es,spotify_search,https://open.spotify.com/track/45oMyfpfU6b6rJO8UKkCkG,"{""pais"":""CO"",""es_infantil"":false,""todos_artistas"":""Blessd"",""spotify_track_id"":""45oMyfpfU6b6rJO8UKkCkG"",""artistas_secundarios"":[]}",completed,
968,2026-03-07 05:02:11.452298+00,,papacito,blessd,0.0,reggaeton,,blessdeluxury,2024.0,200.0,es,spotify_search,https://open.spotify.com/track/4dmK2mmHgCcQZ3EWQopoKz,"{""pais"":""CO"",""es_infantil"":false,""todos_artistas"":""Blessd"",""spotify_track_id"":""4dmK2mmHgCcQZ3EWQopoKz"",""artistas_secundarios"":[]}",completed,
969,2026-03-07 05:02:16.153793+00,,amarte mas no pude,diomedes diaz,0.0,other,,exitos diomedes diaz y joe arroyo,2025.0,286.0,es,spotify_search,https://open.spotify.com/track/0oTn6wwj6KdI5Gzdcujf9Z,"{""pais"":""CO"",""es_infantil"":false,""todos_artistas"":""Diomedes Diaz, Juancho Rois"",""spotify_track_id"":""0oTn6wwj6KdI5Gzdcujf9Z"",""artistas_secundarios"":[]}",completed,
970,2026-03-07 05:02:22.31835+00,,el ritmo que nos une,ryan castro,0.0,reggaeton,,el ritmo que nos une,2024.0,189.0,es,spotify_search,https://open.spotify.com/track/79IBoMfFn67UI15YkP1FSp,"{""pais"":""CO"",""es_infantil"":false,""todos_artistas"":""Ryan Castro, SOG"",""spotify_track_id"":""79IBoMfFn67UI15YkP1FSp"",""artistas_secundarios"":[]}",completed,
971,2026-03-07 05:02:27.973675+00,,la colombiana,juliana,0.0,reggaeton,,la colombiana,2024.0,166.0,es,spotify_search,https://open.spotify.com/track/0L4vNSaf47SbElTWneJUU5,"{""pais"":""CO"",""error_letra"":""No encontrada en Genius"",""es_infantil"":false,""todos_artistas"":""Juliana"",""spotify_track_id"":""0L4vNSaf47SbElTWneJUU5"",""artistas_secundarios"":[]}",error,
972,2026-03-07 05:02:33.163341+00,,miu miu,blessd,0.0,reggaeton,,extraditablessd,2025.0,348.0,es,spotify_search,https://open.spotify.com/track/1btsXTZnL2wVSW8oDWvjMM,"{""pais"":""CO"",""es_infantil"":false,""todos_artistas"":""Blessd, Kris R., Young Fatty, TURY, CARABIN3, GeezyDee"",""spotify_track_id"":""1btsXTZnL2wVSW8oDWvjMM"",""artistas_secundarios"":[]}",completed,
973,2026-03-07 05:02:39.09439+00,,ojitos rojos remix,blessd,0.0,reggaeton,,si sabe,2024.0,203.0,es,spotify_search,https://open.spotify.com/track/2CBcMmYzUemXGeEJ16NHHh,"{""pais"":""CO"",""error_letra"":""No encontrada en Genius"",""es_infantil"":false,""todos_artistas"":""Blessd, Ryan Castro, SOG"",""spotify_track_id"":""2CBcMmYzUemXGeEJ16NHHh"",""artistas_secundarios"":[]}",error,
974,2026-03-07 05:09:32.255211+00,,yogurcito,blessd,0.0,reggaeton,,blessdeluxury,2024.0,183.0,es,spotify_search,https://open.spotify.com/track/6rZno3nqeT7hv2PnSWRuYS,"{""pais"":""CO"",""es_infantil"":false,""todos_artistas"":""Blessd"",""spotify_track_id"":""6rZno3nqeT7hv2PnSWRuYS"",""artistas_secundarios"":[]}",completed,
975,2026-03-07 05:09:37.168476+00,,,karol g,0.0,reggaeton,,,2024.0,298.0,es,spotify_search,https://open.spotify.com/track/3mg9jYNC1NihbthlglzrWP,"{""pais"":""CO"",""error_letra"":""No encontrada en Genius"",""es_infantil"":false,""todos_artistas"":""KAROL G, Feid, DFZM, Ovy On The Drums, J Balvin, Maluma, Ryan Castro, Blessd"",""spotify_track_id"":""3mg9jYNC1NihbthlglzrWP"",""artistas_secundarios"":[]}",error,
976,2026-03-07 05:09:42.442814+00,,virales en insta,jf colombia,0.0,reggaeton,,virales en insta,2024.0,169.0,es,spotify_search,https://open.spotify.com/track/5JLYqA08RKkV38njYhh6Bu,"{""pais"":""CO"",""error_letra"":""No encontrada en Genius"",""es_infantil"":false,""todos_artistas"":""jf colombia, chawy ky"",""spotify_track_id"":""5JLYqA08RKkV38njYhh6Bu"",""artistas_secundarios"":[]}",error,
977,2026-03-07 05:09:47.663146+00,,tendencia global,blessd,0.0,reggaeton,,siempre blessd,2022.0,234.0,es,spotify_search,https://open.spotify.com/track/2TCklWS3S4Zg6e2m2MBoYm,"{""pais"":""CO"",""es_infantil"":false,""todos_artistas"":""Blessd, Myke Towers, Ovy On The Drums"",""spotify_track_id"":""2TCklWS3S4Zg6e2m2MBoYm"",""artistas_secundarios"":[]}",completed,
978,2026-03-07 05:09:52.712908+00,,nueva york,blessd,0.0,reggaeton,,trinidad bendita,2025.0,214.0,es,spotify_search,https://open.spotify.com/track/5U3sC7aA5NxoMSeI1kmO2n,"{""pais"":""CO"",""es_infantil"":false,""todos_artistas"":""Blessd, Los Money Makers, Prodmonja"",""spotify_track_id"":""5U3sC7aA5NxoMSeI1kmO2n"",""artistas_secundarios"":[]}",completed,
979,2026-03-07 05:09:57.41597+00,,viral,ras twm,0.0,reggaeton,,viral,2023.0,205.0,es,spotify_search,https://open.spotify.com/track/3dWtSBWkAvL8zb1xhOHJX4,"{""pais"":""CO"",""es_infantil"":false,""todos_artistas"":""Ras TWM"",""spotify_track_id"":""3dWtSBWkAvL8zb1xhOHJX4"",""artistas_secundarios"":[]}",completed,
980,2026-03-07 05:10:02.26611+00,,hotel,west blanco,0.0,pop,,hotel,2024.0,241.0,es,spotify_search,https://open.spotify.com/track/6E8nqsc7pOshr6NvEY3FaA,"{""pais"":""CO"",""error_letra"":""No encontrada en Genius"",""es_infantil"":false,""todos_artistas"":""West Blanco, Philip Ariaz"",""spotify_track_id"":""6E8nqsc7pOshr6NvEY3FaA"",""artistas_secundarios"":[]}",error,
981,2026-03-07 05:10:06.917547+00,,instagram,blessd,0.0,reggaeton,,instagram,2022.0,162.0,es,spotify_search,https://open.spotify.com/track/0EFxJw34fK8DWlTxx9qYeW,"{""pais"":""CO"",""es_infantil"":false,""todos_artistas"":""Blessd"",""spotify_track_id"":""0EFxJw34fK8DWlTxx9qYeW"",""artistas_secundarios"":[]}",completed,
